word,frequency,example_sentence
10002,1,1採掘を依頼する10002やめておく。
11,1,残りの必要な天のかけら11個。
12,1,残りの必要な天のかけら12個。
13,1,残りの必要な天のかけら13個。
14,1,残りの必要な天のかけら14個。
15,1,残りの必要な天のかけら15個。
16,1,残りの必要な天のかけら16個。
17,1,残りの必要な天のかけら17個。
19,1,残りの必要な天のかけら19個。
2000,1,補修用の石材が20個ほど余ったんだ2000で融通しようか。
2002,1,1採掘を依頼する2002やめておく。
21,1,残りの必要な天のかけら21個。
22,1,残りの必要な天のかけら22個。
23,1,残りの必要な天のかけら23個。
24,1,残りの必要な天のかけら24個。
26,1,残りの必要な天のかけら26個。
27,1,残りの必要な天のかけら27個。
28,1,残りの必要な天のかけら28個。
29,1,残りの必要な天のかけら29個。
30一,1,おいおい30一目惚れとか言うなよ。
4002,1,1採掘を依頼する4002やめておく。
40一,1,お、おいやめろバカ40一口だけだって言っただろ。
500,1,500万ね。
56,1,俺たちのスキル「キリングチェイン」は敵を撃破すると56が増える。
600,1,1採掘を依頼する6002やめておく。
6002,1,1採掘を依頼する6002やめておく。
8002,1,1採掘を依頼する8002やめておく。
895,1,聖暦895年。
9,1,聖暦895年。
906,1,聖歴906年。
あああ,1,あああぁ。
ああん,1,ああん俺はお前のことなんぞ知らねえ。
あいかわらず,1,あいかわらずかだが一角獣が何をしてくれる。
あう,1,あううっ。
あえぐ,1,人々は圧政にあえぐなか、ただ天を仰ぐ他なかった。
あえなく,1,あえなく全滅。
あおば,1,ああおばさん。
あかつき,1,コルニアを取り戻したあかつきには必ず相応の報酬を用意するよ。
あきらめる,1,あきらめるな。
あきらめろ,1,多勢に無勢だあきらめろ。
あくどい,1,それにアイツら、隠れてあくどいこともやってたみたいだしな。
あぐね,1,攻めあぐねて兵を掻き集めるなんざ天下のゼノイラ軍が聞いて呆れる。
あこがれ,1,それ以来騎士にあこがれて。
あした,1,貴女の事情は知っている俺が貴女でもああしたかもしれない。
あしらう,1,こんなの寄越されても邪魔なだけだ適当にあしらうしかねぇな。
あしらっ,1,仕方ねぇ、お前ら適当にあしらってやれ。
あずかっ,1,まアレインも見逃してくれてるし厚意にあずかってもいいか。
あたい,1,あたいら獣人は夜中に強くなるスキルを持ってるんだ。
あたたかい,1,ユニフィはすごくあたたかいな。
あだ名,1,ああ、ニーナには出会った時に面白いあだ名をつけてもらったな。
あちゃー,1,あちゃー、バレてたか。
あったかく,1,お金が足りないみたいだな懐があったかくなったらまた来てくれ。
あったけえ,1,そうかよ、そりゃあったけえが変わった頭領がいたもんだなぁ。
あっため,1,えへへ、あたしで暖をとっていいよこのままあっためてあげる。
あっつい,1,あっついの我慢して買ったのにクロエと一緒に食べようと。
あつ,1,ううううあつあづいです。
あて,1,あてにした途端嘆かわしい。
あどけなかっ,1,まだあどけなかったお前が凛々しい顔つきになったものだな。
あの世,1,冗談だと思いながらあの世へ行くがいいさ。
あははは,1,あはははは。
あはははっ,1,あはははっこんなことってあるんだ。
あはははは,1,あはははは。
あばよ,1,そんじゃあばよ。
あや,1,あやつめ余計なことを。
あやうく,1,あやうく十年前の惨事を繰り返すところだった。
あらあ,1,まぁそうだったんですねあらあら、可愛らしい子猫さん。
あらあら,1,まぁそうだったんですねあらあら、可愛らしい子猫さん。
あられ,1,お元気であられたか。
ありったけ,1,指輪よ、ありったけの私の力をアレイン王子に届けてくれ。
ありつける,1,鉱山の町じゃ俺みたいなガキでも仕事にありつけるんだ。
ありのまま,1,ありのままの姿で思いきり転がりたい。
あれっ,1,あれっルーがいないよ。
